"id";"nome";"tipo";"created_at";"updated_at"
1;"Acura";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
2;"Agrale";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
3;"Alfa Romeo";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
4;"AM Gen";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
5;"Asia Motors";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
6;"Audi";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
7;"BMW";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
8;"BRM";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
10;"Cadillac";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
11;"CBT Jipe";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
12;"Chrysler";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
13;"Citroën";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
14;"Cross Lander";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
15;"Daewoo";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
16;"Daihatsu";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
17;"Dodge";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
18;"Engesa";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
19;"Envemo";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
20;"Ferrari";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
21;"Fiat";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
22;"Ford";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
23;"GM - Chevrolet";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
24;"Gurgel";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
25;"Honda";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
26;"Hyundai";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
27;"Isuzu";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
28;"Jaguar";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
29;"Jeep";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
30;"JPX";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
31;"Kia Motors";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
32;"Lada";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
33;"Land Rover";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
34;"Lexus";"cars";"2024-04-03 22:22:17";"2024-04-03 22:22:17"
35;"Lotus";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
36;"Maserati";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
37;"Matra";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
38;"Mazda";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
39;"Mercedes-Benz";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
40;"Mercury";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
41;"Mitsubishi";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
42;"Miura";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
43;"Nissan";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
44;"Peugeot";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
45;"Plymouth";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
46;"Pontiac";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
47;"Porsche";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
48;"Renault";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
49;"Rover";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
50;"Saab";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
51;"Saturn";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
52;"Seat";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
54;"Subaru";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
55;"Suzuki";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
56;"Toyota";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
57;"Troller";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
58;"Volvo";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
59;"VW - VolksWagen";"cars";"2024-04-03 22:22:18";"2024-04-03 22:22:18"
60;"ADLY";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
61;"AGRALE";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
62;"APRILIA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
63;"ATALA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
64;"BAJAJ";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
65;"BETA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
66;"BIMOTA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
67;"BMW";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
68;"BRANDY";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
69;"byCristo";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
70;"CAGIVA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
71;"CALOI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
72;"DAELIM";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
73;"DERBI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
74;"DUCATI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
75;"EMME";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
76;"GAS GAS";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
77;"HARLEY-DAVIDSON";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
78;"HARTFORD";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
79;"HERO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
80;"HONDA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
81;"HUSABERG";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
82;"HUSQVARNA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
85;"KAWASAKI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
87;"KTM";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
88;"L'AQUILA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
89;"LAVRALE";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
90;"MOTO GUZZI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
91;"MV AGUSTA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
92;"MVK";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
93;"ORCA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
94;"PEUGEOT";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
95;"PIAGGIO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
96;"SANYANG";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
97;"SIAMOTO";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
98;"SUNDOWN";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
99;"SUZUKI";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
100;"TRIUMPH";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
101;"YAMAHA";"motorcycles";"2024-04-03 22:22:19";"2024-04-03 22:22:19"
102;"AGRALE";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
103;"CHEVROLET";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
104;"FIAT";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
105;"FORD";"trucks";"2024-04-03 22:22:20";"2024-04-03 22:22:20"
